Comparison,Correlation
PG vs wins,0.12220506654010961
PG vs adj_net,0.15888892664161244
PG vs off_adj_ppp,0.13901875930445298
PG vs def_adj_ppp,-0.150451951763611
CG vs wins,-0.07038018860396202
CG vs adj_net,-0.03044947747799097
CG vs off_adj_ppp,-0.011576037428036609
CG vs def_adj_ppp,0.04769503707936976
WG vs wins,-0.13244382756638975
WG vs adj_net,-0.20448477309160415
WG vs off_adj_ppp,-0.18966240057231493
WG vs def_adj_ppp,0.180168043684329
s-PG vs wins,0.0365650432801712
s-PG vs adj_net,-0.010848322878635587
s-PG vs off_adj_ppp,-0.046549069438060364
s-PG vs def_adj_ppp,-0.03612360611226746
WF vs wins,-0.05218880140516232
WF vs adj_net,-0.05178435840695989
WF vs off_adj_ppp,0.012715415719240692
WF vs def_adj_ppp,0.12167969419119126
S-PF vs wins,0.04702599578746357
S-PF vs adj_net,0.07587638307157414
S-PF vs off_adj_ppp,0.06284603981771594
S-PF vs def_adj_ppp,-0.0762806079765396
PF/C vs wins,0.11676524928350136
PF/C vs adj_net,0.20595687899365564
PF/C vs off_adj_ppp,0.15665100042934993
PF/C vs def_adj_ppp,-0.22450441271306049
C vs wins,0.13200452938614599
C vs adj_net,0.11084392156908626
C vs off_adj_ppp,0.07484526975970868
C vs def_adj_ppp,-0.13267430119544066
