PPG_from,APG_from,RPG_from,SPG_from,BPG_from,MPG_from,Usage_from,off_rtg_from,def_rtg_from,off_usage_from,Min_per_from,ORtg_from,usgG1_from,eFG_from,TS_per_from,ORB_per_from,DRB_per_from,AST_per_from,TO_per_from,FT_per_from,twoP_per_from,TP_per_from,blk_per_from,stl_per_from,ftr_from,porpag_from,adjoe_from,pfr_from,drtg_from,adrtg_from,dporpag_from,stops_from,oreb_from,dreb_from,treb_from,ast_from,stl_from,blk_from,pts_from,class_from_---,class_from_Fr,class_from_Jr,class_from_So,class_from_Sr,bpm_change,player_key,year_from,year_to,cluster_from,cluster_to
0.9,0.3,0.6,0.1,0.0,4.9,16.6,,,,4.7,70.9,16.6,25.0,35.97,5.7,7.5,9.3,28.9,1.0,0.5,0.0,0.0,1.9,33.3,-0.315698,68.635,7.6,109.256,110.725,0.314187,9.7719,0.2143,0.4286,0.6429,0.2857,0.1429,0.0,0.8571,0,0,0,0,0,2.8274799999999995,2498368,2019,2020,,
0.3,0.1,0.4,0.0,0.0,2.9,12.6,,,,3.0,64.2,12.6,50.0,44.69,8.5,6.0,4.5,47.8,0.0,0.5,0.0,0.0,0.0,25.0,-0.281666,59.5132,12.7,107.502,105.125,0.244966,5.14023,0.2143,0.1429,0.3571,0.0714,0.0,0.0,0.2857,0,0,0,0,0,4.77182,2517081,2023,2024,,
0.9,0.1,1.6,0.1,0.0,4.4,11.0,,,,2.4,131.7,11.0,0.0,51.72,11.5,31.3,5.2,0.0,0.75,0.0,0.0,0.0,1.9,400.0,0.411594,114.721,6.5,101.305,101.297,0.425165,6.76101,0.4286,1.1429,1.5714,0.1429,0.1429,0.0,0.8571,0,0,0,0,0,-10.66809,3125956,2019,2020,,
8.6,0.4,7.8,0.5,1.4,24.6,19.7,,,,61.7,101.1,19.7,64.1,60.49,14.0,21.5,3.7,25.6,0.463,0.646,0.0,6.5,1.2,65.5,1.33369,103.038,4.5,101.285,98.5813,2.64319,140.874,2.9677,4.8387,7.8065,0.3871,0.4839,1.3548,8.5806,0,0,0,0,0,2.54792,3130580,2019,2020,17.0,17.0
10.6,3.0,4.4,0.9,0.8,34.6,15.2,,,,87.0,114.7,15.2,57.9,60.42,5.0,9.4,14.8,18.6,0.792,0.59,0.378,2.6,1.4,22.7,2.02565,104.228,3.9,108.253,113.185,1.96569,180.555,1.4375,2.9688,4.4062,2.9688,0.9062,0.8438,10.625,0,0,0,0,0,-1.7720850000000001,3130753,2019,2020,4.0,4.0
3.0,0.1,0.8,0.2,0.1,8.7,19.3,,,,17.8,90.1,19.3,47.0,47.47,2.3,7.8,3.6,11.5,0.571,0.455,0.317,1.5,1.5,8.5,0.134519,91.914,4.6,108.844,108.466,0.633774,37.564,0.1852,0.5926,0.7778,0.1481,0.2222,0.1111,3.0,0,0,0,0,0,-1.7333099999999995,3132056,2019,2021,3.0,
3.5,0.8,2.6,0.4,0.2,12.4,17.2,,,,24.0,104.1,17.2,44.7,52.35,8.2,15.7,10.4,17.7,0.778,0.56,0.063,2.1,1.8,54.5,0.590558,101.276,6.2,104.101,102.038,1.17194,60.7752,0.88,1.76,2.64,0.76,0.4,0.24,3.48,0,0,0,0,0,4.4178630000000005,3135097,2019,2020,10.0,4.0
15.6,2.3,4.5,0.5,0.2,33.5,20.5,,,,83.6,119.8,20.5,63.7,67.81,3.7,12.1,12.9,19.9,0.866,0.601,0.457,0.7,0.9,37.1,3.65589,118.951,2.0,105.042,105.687,2.7596,179.238,0.9143,3.5714,4.4857,2.2,0.5143,0.2,15.8,0,0,0,0,0,3.46993,3135098,2019,2020,4.0,14.0
11.0,1.5,1.8,1.2,0.2,17.2,30.3,,,,4.9,96.4,30.3,43.1,48.99,5.4,1.8,12.2,15.7,0.75,0.458,0.2,1.8,3.8,41.4,1.31753,107.442,5.6,100.784,100.564,1.90502,11.0017,0.75,1.0,1.75,1.5,1.25,0.25,11.0,0,0,0,0,0,2.77829,3137699,2019,2020,,10.0
13.0,1.0,4.8,1.0,1.2,22.5,27.5,,,,5.6,77.3,27.5,42.4,44.05,3.1,16.6,3.1,19.2,0.571,0.4,0.308,7.6,2.3,21.2,-0.522072,81.2753,3.8,98.1612,102.321,2.29141,17.3428,1.25,3.5,4.75,1.0,1.0,1.25,13.0,0,0,0,0,0,2.29638,3137731,2019,2020,,10.0
