Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
Jalen Coleman-Lands,Kansas,12,4.43632,76.0,19.6,3911842.0
Camron Justice,Western Kentucky,11,0.409497,75.0,23.5,3911625.0
Traci Carter,Hartford,10,-2.64532,73.0,22.4,3906520.0
Jeriah Horne,Tulsa,3,4.42822,79.0,23.6,4066390.0
Eric Curry,Minnesota,7,0.543857,81.0,20.2,4066388.0
James Butler,Drexel,2,-0.215009,80.0,19.2,4067138.0
Charlie Moore,Miami FL,9,4.0041,71.0,22.7,4066345.0
Ben Shungu,Vermont,11,5.30536,74.0,26.1,4066789.0
Keon Clergeot,Southeastern Louisiana,1,-3.82579,73.0,23.9,4066460.0
Bryce Aiken,Seton Hall,9,6.48545,72.0,25.9,4066826.0
Peter Kiss,Bryant,9,0.976658,77.0,34.7,4070686.0
Kevin Marfo,Quinnipiac,8,2.83719,80.0,26.4,4066877.0
Jair Bolden,Butler,14,0.27775,75.0,19.3,4066872.0
Colin Slater,Long Beach St.,1,0.115691,73.0,21.2,4066475.0
Joey Brunk,Ohio St.,13,2.2274,83.0,15.1,4065763.0
Davion Mintz,Kentucky,14,4.1542,75.0,17.4,4065766.0
Tyson Jolly,Iona,3,1.76805,76.0,22.2,4066291.0
AJ Wilson,South Carolina,0,5.85707,79.0,13.0,4066866.0
Xavier Green,Maryland,17,1.0932,78.0,8.4,4067031.0
Tareq Coburn,St. John's,14,-0.0743426,77.0,17.1,4066515.0
Tavian Dunn-Martin,Florida Gulf Coast,9,1.41568,68.0,33.5,4067358.0
Jakolby Long,Bethune Cookman,7,-3.59877,76.0,12.5,4066295.0
Taze Moore,Houston,6,8.3355,77.0,19.2,4066808.0
Justin Edler-Davis,Cal St. Bakersfield,3,-0.746338,76.0,18.5,4396025.0
Greg Lee,Penn St.,3,-2.2256,81.0,19.1,4066811.0
Brandon Johnson,DePaul,3,-0.970438,80.0,17.4,4067410.0
Nick Robinson,Western Carolina,3,0.427392,78.0,25.6,4066509.0
Grant Golden,Richmond,2,2.98787,82.0,27.4,4066836.0
De'Monte Buckingham,UNC Greensboro,12,3.06314,76.0,20.6,4066833.0
Nick Sherod,Richmond,10,-2.97072,76.0,21.1,4066832.0
Randy Miller Jr.,North Carolina Central,10,-5.90815,74.0,20.7,4398239.0
Scott Spencer,Tulane,10,-2.1241,78.0,14.1,4065646.0
Eron Gordon,Valparaiso,17,-2.59604,75.0,12.5,4065815.0
Mitch Lightfoot,Kansas,15,7.85042,80.0,17.8,4066300.0
Nate Johnson,Xavier,14,2.42539,76.0,17.2,4067338.0
Drew Buggs,Winthrop,5,-1.3256,75.0,19.0,4066911.0
DJ Jones,Florida A&M,16,-3.84875,81.0,18.3,4066476.0
Keith Fisher III,Pepperdine,7,-2.92897,80.0,19.5,4066740.0
Ben Coupet Jr.,Southern Illinois,3,0.991736,79.0,19.5,4066780.0
