year,Name,Team,cluster,pca_1,pca_2,BPM,Height,Usage,AthleteSourceId,OBPM,DBPM,Height,Usage,off_twoprimr,ThreePointPct,ThreePointAttemptRate,TwoPointFieldGoals Pct,FreeThrows Pct,FTR,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,blk_per,stl_per
2019,Josh Warren,Cornell,15,1.0955523069202209,-0.9137911421737351,-0.276415,80.0,22.4,4066813.0,-0.789851,0.513436,80.0,22.4,63.63999999999999,38.0,24.03846153846154,56.99999999999999,72.39999999999999,36.5,57.0,59.81,3.4,15.7,22.6,23.3,2.4,0.9
2019,Luke Worthington,BYU,8,2.439611257550934,1.4334520643478543,-1.37894,82.0,15.4,66687.0,-0.742612,-0.636332,82.0,15.4,72.22,0.0,0.0,49.3,60.0,59.7,49.3,52.33,9.9,14.3,5.1,13.7,0.6,1.8
2019,Dontel Highsmith,Cleveland St.,14,-1.4862012121819517,-0.9534249667238406,-2.81951,74.0,11.8,67060.0,-0.536681,-2.28283,74.0,11.8,52.94,33.300000000000004,50.602409638554214,51.2,81.3,38.6,50.6,56.01,2.2,7.8,9.8,12.4,0.7,1.3
2019,Emmanuel Toney,Texas A&M Corpus Chris,5,-2.2277477873820146,0.9438575890216447,-2.58647,74.0,19.0,67414.0,-2.22453,-0.361944,74.0,19.0,53.09,32.5,39.89637305699482,42.199999999999996,67.9,29.0,44.8,48.04,2.3,11.3,25.3,26.2,0.3,2.2
2019,Damarion Geter,Longwood,15,1.3529386742011091,1.456668984578229,-0.473882,80.0,13.3,66583.0,-2.71829,2.24441,80.0,13.3,60.0,35.699999999999996,25.0,48.8,53.2,42.0,50.0,51.0,5.3,17.2,9.8,21.4,3.7,1.8
2019,Parker Van Dyke,Utah,12,-1.3894871247375125,-3.8603154980298084,3.8239,75.0,15.3,3064446.0,4.78923,-0.965323,75.0,15.3,71.43,40.9,84.21052631578947,54.50000000000001,78.60000000000001,6.7,60.3,60.98,0.6,6.2,13.1,13.8,0.6,2.3
2019,Andre Adams,Southern Utah,8,3.4566312883866166,0.7065467033679537,-1.99943,81.0,23.5,3948149.0,-3.44423,1.4448,81.0,23.5,71.09,15.4,5.701754385964912,60.5,61.9,36.8,58.3,59.35,7.3,23.8,10.7,24.9,3.2,1.2
2019,Mitch Hahn,Nebraska Omaha,3,0.24987757774005923,-1.503483418277009,-0.39051,80.0,20.8,3130560.0,1.37484,-1.76535,80.0,20.8,55.879999999999995,37.4,42.48554913294797,53.300000000000004,77.4,17.9,54.5,56.6,3.5,21.0,9.2,11.9,0.6,0.9
2019,Ryan Andino,Maryland Eastern Shore,14,-3.829242102229713,-0.8210516319063941,-6.54638,74.0,20.0,3153381.0,-0.744401,-5.80198,74.0,20.0,61.53999999999999,29.9,84.46601941747572,35.4,86.7,9.7,43.4,45.48,0.6,6.6,4.3,5.9,0.0,1.0
2019,Chancellor Barnard,Binghamton,15,2.5734411005640125,-1.5260767251325589,-0.433839,76.0,13.4,3130572.0,-1.30982,0.875977,76.0,13.4,67.67,100.0,0.7042253521126761,63.800000000000004,45.6,47.9,64.4,61.39,8.5,15.3,4.8,20.4,5.2,1.1
2019,Keon Williams,St. Francis NY,12,0.11888953119021327,-1.143137191753319,-1.31908,76.0,10.8,3155881.0,-1.22039,-0.0986897,76.0,10.8,75.0,34.8,63.30275229357798,57.49999999999999,65.2,21.1,54.1,55.45,3.7,12.8,6.4,13.5,0.7,1.3
2019,Glenn Sanabria,St. Francis NY,1,-2.638468779617004,0.09256768990495848,-1.01651,71.0,23.1,3133979.0,-0.416209,-0.600299,71.0,23.1,47.73,33.7,47.51381215469613,41.099999999999994,59.5,23.2,45.6,47.28,2.7,8.7,16.9,14.1,1.0,2.5
2019,Jacquil Taylor,Hofstra,13,6.8502954382754355,-1.2770370125841335,5.15542,82.0,14.5,3136992.0,2.30907,2.84635,82.0,14.5,77.27000000000001,0.0,0.0,70.0,69.6,32.9,70.0,70.45,13.7,26.2,4.5,15.9,7.9,1.2
