year_from,year_to,player_id,cluster_from,cluster_to,cluster_changed,bpm_from,bpm_to,bpm_change
2019,2020,4279176.0,6,6,False,,,
2019,2020,4397100.0,3,3,False,,,
2019,2020,4285366.0,16,16,False,,,
2019,2020,4067287.0,8,6,True,,,
2019,2020,4070762.0,14,14,False,,,
2019,2020,4278355.0,2,15,True,,,
2019,2020,4280113.0,9,9,False,,,
2019,2020,3912279.0,9,9,False,,,
2019,2020,3941317.0,1,1,False,,,
2019,2020,4278507.0,14,14,False,,,
2019,2020,3935019.0,1,1,False,,,
2019,2020,4277845.0,8,1,True,,,
2019,2020,4396950.0,11,2,True,,,
2019,2020,4070742.0,8,12,True,,,
2019,2020,4065731.0,9,9,False,,,
2019,2020,4279889.0,2,2,False,,,
2019,2020,4397644.0,16,15,True,,,
2019,2020,4278335.0,1,10,True,,,
2019,2020,4066757.0,14,14,False,,,
2019,2020,4395880.0,4,14,True,,,
2019,2020,4067164.0,4,4,False,,,
2019,2020,4397635.0,14,3,True,,,
2019,2020,4278204.0,16,5,True,,,
2019,2020,4067900.0,3,7,True,,,
2019,2020,4280158.0,15,15,False,,,
2019,2020,4066777.0,6,6,False,,,
2019,2020,3911895.0,10,6,True,,,
2019,2020,4278334.0,16,11,True,,,
2019,2020,4278408.0,1,1,False,,,
2019,2020,4398021.0,13,17,True,,,
2019,2020,4067650.0,4,17,True,,,
2019,2020,4067893.0,16,6,True,,,
2019,2020,4396612.0,12,7,True,,,
2019,2020,4066440.0,9,9,False,,,
2019,2020,4397570.0,13,6,True,,,
2019,2020,4277930.0,17,4,True,,,
2019,2020,4280301.0,6,10,True,,,
2019,2020,4398369.0,4,3,True,,,
2019,2020,4279641.0,10,12,True,,,
2019,2020,4278562.0,15,9,True,,,
2019,2020,4395714.0,15,10,True,,,
2019,2020,4280016.0,17,17,False,,,
2019,2020,4067365.0,4,4,False,,,
2019,2020,4066643.0,17,7,True,,,
2019,2020,4398243.0,17,12,True,,,
2019,2020,4397993.0,16,16,False,,,
2019,2020,4397425.0,12,13,True,,,
2019,2020,4067781.0,1,1,False,,,
2019,2020,4066839.0,1,4,True,,,
2019,2020,4397712.0,13,13,False,,,
2019,2020,4067435.0,8,3,True,,,
2019,2020,4279851.0,8,1,True,,,
2019,2020,4398184.0,14,1,True,,,
2019,2020,4280209.0,16,16,False,,,
2019,2020,4066342.0,5,2,True,,,
2019,2020,4396998.0,6,10,True,,,
2019,2020,4067383.0,2,10,True,,,
2019,2020,4398257.0,10,10,False,,,
2019,2020,3908515.0,17,10,True,,,
2019,2020,4066501.0,17,13,True,,,
2019,2020,3906547.0,1,1,False,,,
2019,2020,3960812.0,13,10,True,,,
2019,2020,4067675.0,8,0,True,,,
2019,2020,4278532.0,6,6,False,,,
2019,2020,4279139.0,10,10,False,,,
2019,2020,4397123.0,7,1,True,,,
2019,2020,4397027.0,1,12,True,,,
2019,2020,3948855.0,9,9,False,,,
2019,2020,4397266.0,15,15,False,,,
2019,2020,4397018.0,10,1,True,,,
2019,2020,4279649.0,3,3,False,,,
2019,2020,4067307.0,10,10,False,,,
2019,2020,4279061.0,7,7,False,,,
2019,2020,4066973.0,4,4,False,,,
2019,2020,4397558.0,16,16,False,,,
2019,2020,4334018.0,3,4,True,,,
2019,2020,4278706.0,6,10,True,,,
2019,2020,3913555.0,10,10,False,,,
2019,2020,4066442.0,6,10,True,,,
2019,2020,4066265.0,1,1,False,,,
2019,2020,4397033.0,10,10,False,,,
2019,2020,4278594.0,6,14,True,,,
2019,2020,4397125.0,10,1,True,,,
2019,2020,4067814.0,4,3,True,,,
2019,2020,4279101.0,17,4,True,,,
2019,2020,4066999.0,10,6,True,,,
2019,2020,4398251.0,6,16,True,,,
2019,2020,3948760.0,7,3,True,,,
2019,2020,4397680.0,10,15,True,,,
2019,2020,4397554.0,3,14,True,,,
2019,2020,4278333.0,1,1,False,,,
2019,2020,4397382.0,7,12,True,,,
2019,2020,4397960.0,13,12,True,,,
2019,2020,4279473.0,7,13,True,,,
2019,2020,3913700.0,15,15,False,,,
2019,2020,4395727.0,9,16,True,,,
2019,2020,4066752.0,13,13,False,,,
2019,2020,4278582.0,9,9,False,,,
2019,2020,4067328.0,16,2,True,,,
2019,2020,4396803.0,13,13,False,,,
2019,2020,4066354.0,14,14,False,,,
2019,2020,4066331.0,13,0,True,,,
2019,2020,4280190.0,1,14,True,,,
2019,2020,4280184.0,17,13,True,,,
2019,2020,4278449.0,14,4,True,,,
2019,2020,4396633.0,3,14,True,,,
2019,2020,4397667.0,2,15,True,,,
2019,2020,3907090.0,2,15,True,,,
2019,2020,3913185.0,16,16,False,,,
2019,2020,4278566.0,0,6,True,,,
2019,2020,3922039.0,14,14,False,,,
2019,2020,3958145.0,2,2,False,,,
2019,2020,4278119.0,10,7,True,,,
2019,2020,4067858.0,10,15,True,,,
2019,2020,4397396.0,5,16,True,,,
2019,2020,4397320.0,5,5,False,,,
2019,2020,4396673.0,13,13,False,,,
2019,2020,4066269.0,1,14,True,,,
2019,2020,3912333.0,4,14,True,,,
2019,2020,4065719.0,6,0,True,,,
2019,2020,3946957.0,4,17,True,,,
2019,2020,4397456.0,10,2,True,,,
2019,2020,4066610.0,14,14,False,,,
2019,2020,4397850.0,4,14,True,,,
2019,2020,4398245.0,16,6,True,,,
2019,2020,4396591.0,7,4,True,,,
2019,2020,4278525.0,11,16,True,,,
2019,2020,4280620.0,6,6,False,,,
2019,2020,4397957.0,3,3,False,,,
2019,2020,4277951.0,10,15,True,,,
2019,2020,4397863.0,7,3,True,,,
2019,2020,4280264.0,0,10,True,,,
2019,2020,4396753.0,0,12,True,,,
2019,2020,4397220.0,4,14,True,,,
2019,2020,4397904.0,1,4,True,,,
2019,2020,4395987.0,3,3,False,,,
2019,2020,4066816.0,11,16,True,,,
2019,2020,4280077.0,11,11,False,,,
2019,2020,3907110.0,2,15,True,,,
2019,2020,4067230.0,16,16,False,,,
2019,2020,3907561.0,1,1,False,,,
2019,2020,4398177.0,3,8,True,,,
2019,2020,3919336.0,15,15,False,,,
2019,2020,4067788.0,6,6,False,,,
2019,2020,4397552.0,8,6,True,,,
2019,2020,4279434.0,10,10,False,,,
2019,2020,4397568.0,4,4,False,,,
2019,2020,4397097.0,7,1,True,,,
2019,2020,4397779.0,4,4,False,,,
2019,2020,3915081.0,17,17,False,,,
2019,2020,4278038.0,7,3,True,,,
2019,2020,4278556.0,17,17,False,,,
2019,2020,4396629.0,1,1,False,,,
2019,2020,4398211.0,4,4,False,,,
2019,2020,4284076.0,13,13,False,,,
2019,2020,3946031.0,4,4,False,,,
2019,2020,4396979.0,2,15,True,,,
2019,2020,4066845.0,3,3,False,,,
2019,2020,4284169.0,3,3,False,,,
2019,2020,4397214.0,17,13,True,,,
2019,2020,4067806.0,16,6,True,,,
2019,2020,4277975.0,15,15,False,,,
2019,2020,4395722.0,14,14,False,,,
2019,2020,4066830.0,9,10,True,,,
2019,2020,4279532.0,15,6,True,,,
2019,2020,3936313.0,0,13,True,,,
2019,2020,4398119.0,11,16,True,,,
2019,2020,4278485.0,9,9,False,,,
2019,2020,4397634.0,11,5,True,,,
2019,2020,4067382.0,1,1,False,,,
2019,2020,4067561.0,5,10,True,,,
2019,2020,4066486.0,14,14,False,,,
2019,2020,4398149.0,11,5,True,,,
2019,2020,4066213.0,17,4,True,,,
2019,2020,4278094.0,1,14,True,,,
2019,2020,4397427.0,3,14,True,,,
2019,2020,4280046.0,10,6,True,,,
2019,2020,4397817.0,17,13,True,,,
2019,2020,4067265.0,8,14,True,,,
2019,2020,4280042.0,11,16,True,,,
2019,2020,4067446.0,10,15,True,,,
2019,2020,3913196.0,2,9,True,,,
2019,2020,4397722.0,13,2,True,,,
2019,2020,4066656.0,15,15,False,,,
2019,2020,4067184.0,12,13,True,,,
2019,2020,4280087.0,15,11,True,,,
2019,2020,4067921.0,11,6,True,,,
2019,2020,4066276.0,4,4,False,,,
2019,2020,4067798.0,7,7,False,,,
2019,2020,4278277.0,10,7,True,,,
2019,2020,4278588.0,10,10,False,,,
2019,2020,4397772.0,16,2,True,,,
2019,2020,67081.0,11,2,True,,,
2019,2020,3907473.0,6,13,True,,,
2019,2020,4396025.0,6,13,True,,,
2019,2020,4066721.0,7,4,True,,,
2019,2020,4278046.0,16,15,True,,,
2019,2020,4067390.0,16,15,True,,,
2019,2020,4395704.0,4,14,True,,,
2019,2020,3906789.0,15,16,True,,,
2019,2020,4278603.0,11,2,True,,,
2019,2020,4066749.0,17,10,True,,,
2019,2020,4397910.0,7,12,True,,,
2019,2020,4395888.0,17,13,True,,,
