Season,SeasonLabel,TeamId,Team,Conference,AthleteId,AthleteSourceId,Name,Position,Games,Starts,Minutes,Points,Turnovers,Fouls,Assists,Steals,Blocks,OffensiveRating,DefensiveRating,NetRating,PORPAG,Usage,AssistsTurnoverRatio,OffensiveReboundPct,FreeThrowRate,EffectiveFieldGoalPct,TrueShootingPct,FieldGoals Made,FieldGoals Attempted,FieldGoals Pct,TwoPointFieldGoals Made,TwoPointFieldGoals Attempted,TwoPointFieldGoals Pct,ThreePointFieldGoals Made,ThreePointFieldGoals Attempted,ThreePointFieldGoals Pct,FreeThrows Made,FreeThrows Attempted,FreeThrows Pct,Rebounds Offensive,Rebounds Defensive,Rebounds Total,WinShares Offensive,WinShares Defensive,WinShares Total,WinShares TotalPer40,PPG,RPG,APG,SPG,BPG,TOPG,FPG,MPG,data_tier,BPM,VORP,RAPM,off_RAPM,def_RAPM,OBPM,DBPM
2020,20192020,1,Abilene Christian,Southland,16870,4433077,Airion Simmons,F,31,0,434,167,33,63,23,28,10,98.4,89.5858,5.4,0.6,20.4,0.7,31.5,28.3,52.2,0.538,66,138,47.8,54,103,52.4,12,35,34.3,23,39,59.0,40,87,127,0.5,0.9,1.4,0.129,5.4,4.1,0.7,0.9,0.3,1.1,2.0,14.0,basic,-7.558207,0.7,1.03,-0.79,2.37,-3.9984019,-3.559806
2020,20192020,1,Abilene Christian,Southland,21203,4397957,Damien Daniels,G,31,15,630,162,50,68,96,34,0,97.0,96.4227,-4.2,0.6,18.0,1.92,21.6,30.5,46.1,0.507,56,141,39.7,38,75,50.7,18,66,27.3,32,43,74.4,16,58,74,0.5,0.8,1.3,0.083,5.2,2.4,3.1,1.1,0.0,1.6,2.2,20.3,basic,-7.851265000000001,1.48,-1.2,-1.64,0.99,-3.9690487,-3.8822162000000002
2020,20192020,1,Abilene Christian,Southland,21204,4278255,Tobias Cameron,G,25,0,140,48,9,25,15,6,1,109.5,95.59,6.6,0.4,20.8,1.67,39.3,28.9,50.0,0.56,17,38,44.7,13,17,76.5,4,21,19.0,10,11,90.9,11,17,28,0.3,0.2,0.5,0.143,1.9,1.1,0.6,0.2,0.0,0.4,1.0,5.6,basic,-7.610546,0.11,-1.15,-1.51,0.9,-3.765642,-3.844904
2020,20192020,1,Abilene Christian,Southland,21205,4397958,Joe Pleasant,F,29,29,713,318,54,76,23,17,4,101.4,99.2121,-2.6,1.6,22.7,0.43,40.2,41.8,53.9,0.579,118,232,50.9,104,194,53.6,14,38,36.8,68,97,70.1,49,73,122,1.3,0.7,2.0,0.112,11.0,4.2,0.8,0.6,0.1,1.9,2.6,24.6,basic,-8.060012,1.23,-1.82,-0.15,-1.12,-4.041839400000001,-4.0181722
2020,20192020,1,Abilene Christian,Southland,27157,4593748,Mahki Morris,G,17,1,191,64,15,22,10,13,1,71.7,100.038,-0.7,0.2,19.0,0.67,51.9,28.3,41.7,0.474,20,60,33.3,10,23,43.5,10,37,27.0,14,17,82.4,14,13,27,0.0,0.4,0.4,0.084,3.8,1.6,0.6,0.8,0.1,0.9,1.3,11.2,basic,-8.605260000000001,-0.26,-8.39,-5.85,-2.03,-4.561037000000001,-4.044223000000001
2020,20192020,1,Abilene Christian,Southland,27158,4593747,Reggie Miller,G,31,16,592,94,44,39,64,32,3,75.2,96.6216,-21.5,-0.2,14.7,1.45,23.1,42.3,34.5,0.409,28,97,28.9,17,40,42.5,11,57,19.3,27,41,65.9,15,50,65,-0.4,0.8,0.4,0.027,3.0,2.1,2.1,1.0,0.1,1.4,1.3,19.1,basic,-8.085942000000001,0.39,-3.68,-4.07,0.95,-4.289121,-3.796821
2020,20192020,1,Abilene Christian,Southland,27161,4593750,Coryon Mason,G,31,28,752,274,36,90,58,37,7,111.7,98.6655,11.7,2.0,17.4,1.61,38.2,48.7,53.1,0.591,92,191,48.2,73,131,55.7,19,60,31.7,71,93,76.3,29,47,76,1.9,0.9,2.8,0.149,8.8,2.5,1.9,1.2,0.2,1.2,2.9,24.3,basic,-7.689768,2.81,0.13,-0.0,0.69,-3.816205,-3.8735627000000004
2020,20192020,1,Abilene Christian,Southland,31417,4067625,Kolton Kohl,C,31,20,555,299,38,61,24,15,24,103.5,94.1959,9.7,1.8,24.8,0.63,33.1,46.5,53.5,0.583,114,213,53.5,114,209,54.5,0,4,0.0,71,99,71.7,44,89,133,1.6,0.8,2.4,0.173,9.6,4.3,0.8,0.5,0.8,1.2,2.0,17.9,basic,-7.8879548,1.03,-0.03,-0.25,0.78,-4.125792000000001,-3.762163
2020,20192020,1,Abilene Christian,Southland,31418,4397959,Clay Gayman,F,31,11,521,294,42,58,32,10,23,112.5,96.9613,13.3,2.0,25.4,0.76,34.7,44.1,57.7,0.631,103,195,52.8,84,139,60.4,19,56,33.9,69,86,80.2,41,77,118,1.9,0.7,2.6,0.2,9.5,3.8,1.0,0.3,0.7,1.4,1.9,16.8,basic,-7.5123940000000005,1.51,2.59,2.7,0.45,-3.753193,-3.759201
2020,20192020,1,Abilene Christian,Southland,31420,4278253,Paul Hiepler,G,13,0,53,28,1,5,2,0,0,67.6,104.577,21.9,0.6,22.7,2.0,33.3,14.3,61.9,0.627,9,21,42.9,1,3,33.3,8,18,44.4,2,3,66.7,1,2,3,0.2,0.1,0.3,0.226,2.2,0.2,0.2,0.0,0.0,0.1,0.4,4.1,basic,-9.40306,-0.11,-12.39,-6.28,-5.63,-4.722263,-4.680801000000001
