Season,SeasonLabel,TeamId,Team,Conference,AthleteId,AthleteSourceId,Name,Position,Games,Starts,Minutes,Points,Turnovers,Fouls,Assists,Steals,Blocks,OffensiveRating,DefensiveRating,NetRating,PORPAG,Usage,AssistsTurnoverRatio,OffensiveReboundPct,FreeThrowRate,EffectiveFieldGoalPct,TrueShootingPct,FieldGoals Made,FieldGoals Attempted,FieldGoals Pct,TwoPointFieldGoals Made,TwoPointFieldGoals Attempted,TwoPointFieldGoals Pct,ThreePointFieldGoals Made,ThreePointFieldGoals Attempted,ThreePointFieldGoals Pct,FreeThrows Made,FreeThrows Attempted,FreeThrows Pct,Rebounds Offensive,Rebounds Defensive,Rebounds Total,WinShares Offensive,WinShares Defensive,WinShares Total,WinShares TotalPer40,PPG,RPG,APG,SPG,BPG,TOPG,FPG,MPG,data_tier
2026,20252026,1,Abilene Christian,WAC,6048,4897572,Joseph Venzant,G,33,23,831,145,33,107,25,56,11,105.7,104.957,9.6,0.9,9.5,0.76,31.1,77.6,55.3,0.636,41,85,48.2,29,56,51.8,12,29,41.4,51,66,77.3,33,73,106,0.7,1.2,1.9,0.091,4.4,3.2,0.8,1.7,0.3,1.0,3.2,25.2,basic
2026,20252026,1,Abilene Christian,WAC,6050,5241314,Bradyn Hubbard,F,32,29,899,520,74,94,50,57,5,98.2,105.59,2.2,2.4,30.2,0.68,22.1,41.5,45.5,0.525,168,419,40.1,123,275,44.7,45,144,31.3,139,174,79.9,33,116,149,1.5,1.3,2.8,0.125,16.2,4.7,1.6,1.8,0.2,2.3,2.9,28.1,basic
2026,20252026,1,Abilene Christian,WAC,6052,5177705,Ma'Shy Hill,F,33,7,334,89,26,52,5,3,12,82.4,109.316,-17.9,0.0,14.4,0.19,31.4,44.4,61.9,0.591,39,63,61.9,39,63,61.9,0,0,0.0,11,28,39.3,16,35,51,0.0,0.3,0.3,0.036,2.7,1.5,0.2,0.1,0.4,0.8,1.6,10.1,basic
2026,20252026,1,Abilene Christian,WAC,6053,5107885,Cade Hornecker,F,33,19,524,176,38,59,38,15,16,97.1,106.343,-5.0,0.6,20.4,1.0,33.9,35.6,46.6,0.511,68,149,45.6,65,129,50.4,3,20,15.0,37,53,69.8,38,74,112,0.4,0.7,1.1,0.084,5.3,3.4,1.2,0.5,0.5,1.2,1.8,15.9,basic
2026,20252026,1,Abilene Christian,WAC,6054,5241312,Christian Alston,G,30,0,338,138,25,37,10,14,7,86.8,106.469,-17.2,-0.1,26.0,0.4,31.0,33.8,38.1,0.432,48,139,34.5,38,94,40.4,10,45,22.2,32,47,68.1,18,40,58,-0.2,0.4,0.2,0.024,4.6,1.9,0.3,0.5,0.2,0.8,1.2,11.3,basic
2026,20252026,1,Abilene Christian,WAC,6056,5241310,Rich Smith,G,32,29,944,319,82,91,147,60,10,104.0,106.129,3.0,1.8,21.4,1.79,39.2,64.7,51.4,0.562,112,221,50.7,109,209,52.2,3,12,25.0,92,143,64.3,49,76,125,1.5,1.2,2.7,0.114,10.0,3.9,4.6,1.9,0.3,2.6,2.8,29.5,basic
2026,20252026,1,Abilene Christian,WAC,6057,5177702,Yaniel Rivera,G,29,21,709,210,46,30,64,35,7,98.1,109.362,-6.5,0.9,17.3,1.39,19.0,22.8,49.2,0.519,67,184,36.4,20,56,35.7,47,128,36.7,29,42,69.0,8,34,42,0.5,0.7,1.2,0.068,7.2,1.4,2.2,1.2,0.2,1.6,1.0,24.4,basic
2026,20252026,1,Abilene Christian,WAC,6209,5177575,Cbo Newton,G,30,24,774,303,44,69,35,34,6,103.0,109.607,-1.2,1.6,19.8,0.8,27.7,29.3,52.5,0.554,112,242,46.3,82,144,56.9,30,98,30.6,49,71,69.0,18,47,65,1.0,0.8,1.8,0.093,10.1,2.2,1.2,1.1,0.2,1.5,2.3,25.8,basic
2026,20252026,1,Abilene Christian,WAC,13998,5260535,Zy Wright,ATH,33,6,573,207,30,51,19,18,5,102.0,110.329,4.5,1.3,17.5,0.63,37.3,39.7,51.7,0.583,68,151,45.0,48,86,55.8,20,65,30.8,51,60,85.0,28,47,75,0.9,0.6,1.5,0.105,6.3,2.3,0.6,0.5,0.2,0.9,1.5,17.4,basic
2026,20252026,1,Abilene Christian,WAC,197823,5314819,Isaiah Carrillo,G,11,0,46,10,2,3,4,3,0,81.3,101.564,-8.2,0.1,12.3,2.0,20.0,20.0,45.0,0.46,4,10,40.0,3,6,50.0,1,4,25.0,1,2,50.0,1,4,5,0.0,0.1,0.1,0.087,0.9,0.5,0.4,0.3,0.0,0.2,0.3,4.2,basic
