ncaa_id,year,rapm,off_rapm,def_rapm,base_bpm,win_rate,games_played,total_minutes
61743,2019,4.78,3.03,2.21,4.46,0.794,34,868.0
64915,2019,-10.79,-9.23,-1.21,-10.64,0.643,14,24.0
3064446,2019,2.48,3.03,-0.22,3.06,0.548,31,751.0
66583,2019,-3.8,-3.5,0.29,-1.77,0.393,28,699.0
66591,2019,-2.45,-3.41,1.11,-2.98,0.684,19,109.0
66627,2019,-6.3,-3.76,-1.99,-4.34,0.385,26,700.0
66687,2019,-3.83,-3.38,-0.12,-3.46,0.594,32,340.0
67060,2019,-4.79,-2.37,-1.9,-2.38,0.276,29,459.0
67081,2019,-9.29,-8.79,0.1,-7.91,0.524,21,193.0
67275,2019,6.47,4.05,2.61,5.73,0.743,35,1033.0
67414,2019,-4.59,-3.12,-0.92,-2.48,0.357,28,824.0
67440,2019,3.78,3.73,0.54,3.91,0.719,32,1173.0
68109,2019,-6.92,-5.59,-0.77,-5.07,0.407,27,620.0
3132050,2019,-0.02,1.06,-0.66,1.79,0.346,26,833.0
3132051,2019,-0.61,-1.87,1.74,-0.41,0.7,20,324.0
3132062,2019,5.54,4.85,0.9,4.91,0.727,33,1132.0
3135054,2019,1.15,0.23,0.97,-0.08,0.773,22,577.0
3135056,2019,-11.59,-7.81,-3.27,-10.89,0.615,13,76.0
3135059,2019,2.45,-0.56,3.13,2.92,0.467,30,519.0
3138146,2019,4.61,4.31,0.29,4.5,0.514,35,1240.0
3138160,2019,8.18,6.12,2.59,7.74,0.853,34,1161.0
3138161,2019,6.53,3.73,3.33,6.09,0.853,34,1171.0
3138196,2019,13.5,9.81,3.72,12.05,0.806,36,1078.0
3138197,2019,3.65,2.29,1.7,4.34,0.531,32,797.0
3138200,2019,5.2,0.99,4.09,2.82,0.919,37,612.0
3138201,2019,6.34,5.86,0.45,5.37,0.676,34,1118.0
3138202,2019,3.59,2.68,1.41,3.62,0.743,35,1206.0
3138223,2019,-2.06,-0.45,-1.07,-1.33,0.622,37,807.0
3133597,2019,-0.56,0.26,-0.33,0.28,0.576,33,1110.0
3133610,2019,0.2,-2.68,2.88,-0.3,0.6,30,457.0
3133632,2019,6.58,0.53,6.04,4.99,0.811,37,645.0
3134084,2019,3.71,2.85,1.32,4.74,0.528,36,1259.0
3136471,2019,4.32,-0.0,4.41,4.16,0.576,33,662.0
3136475,2019,1.33,1.02,0.52,1.42,0.588,34,982.0
