player_key,player_name,team,current_bpm,bpm_change_predicted,projected_bpm,projected_bpm_lower_90,projected_bpm_upper_90,cluster_id,historical_samples
5312355,Jalen Tot,App State,-1.26001,1.4,0.14,-2.1,2.37,14,3263
5109033,Allen Mukeba,Arizona State,5.06013,2.61,7.67,4.7,10.63,0,1028
5176231,Bryce Ford,Arizona State,-0.0715084,1.44,1.36,-0.95,3.68,14,3263
5142326,Marcus Adams Jr.,Arizona State,2.54161,2.45,4.99,1.87,8.11,12,2556
5105457,Maurice Odum,Arizona State,4.08445,2.55,6.64,4.18,9.09,9,2020
5176444,Santiago Trouet,Arizona State,2.82364,2.32,5.14,1.77,8.52,8,2224
5189257,Anthony Johnson,Arizona State,2.24083,2.59,4.83,2.03,7.63,9,2020
5311903,Massamba Diop,Arizona State,5.53845,2.57,8.11,5.56,10.65,0,1028
5311900,Andrija Grbović,Arizona State,0.970177,1.42,2.39,0.15,4.64,14,3263
5311901,Noah Meeusen,Arizona State,4.24673,3.08,7.33,4.9,9.75,6,2471
5105555,Tobe Awaka,Arizona,8.64578,1.21,9.85,5.3,14.4,2,1900
4432737,Jaden Bradley,Arizona,7.5798,2.67,10.25,7.67,12.83,9,2020
5174954,Motiejus Krivas,Arizona,11.9854,2.59,14.58,11.97,17.18,0,1028
5108141,Anthony Dell'Orso,Arizona,5.27952,2.32,7.6,4.77,10.43,11,2931
4702960,Evan Nelson,Arizona,-1.23447,2.33,1.1,-1.91,4.1,11,2931
5186456,Dwayne Aristode,Arizona,8.21119,2.51,10.72,7.63,13.82,12,2556
5082206,Brayden Burries,Arizona,10.2047,2.27,12.48,10.06,14.89,11,2931
5311896,Ivan Kharchenkov,Arizona,8.89592,3.02,11.91,9.71,14.11,6,2471
5041953,Koa Peat,Arizona,7.99692,1.21,9.21,4.87,13.54,2,1900
5105546,Malique Ewin,Arkansas,7.53271,1.23,8.76,4.09,13.43,2,1900
4703887,Nick Pringle,Arkansas,4.40279,2.63,7.04,3.7,10.37,13,1560
4683777,D.J. Wagner,Arkansas,3.28857,2.36,5.65,2.8,8.51,11,2931
5060732,Billy Richmond III,Arkansas,6.67888,2.48,9.16,6.38,11.93,12,2556
4869777,Karter Knox,Arkansas,4.74481,2.48,7.23,4.32,10.14,12,2556
