Comparison,Correlation
total_current_usage vs wins,-0.05741021090759079
total_current_usage vs losses,0.0823103583312043
total_current_usage vs adj_net,-0.016425237079431845
total_current_usage vs off_adj_ppp,-0.0271894146853846
total_current_usage vs def_adj_ppp,-0.000232778921679804
total_current_usage vs tempo,0.1050647093159035
total_current_usage vs wab,-0.014365334487027355
total_current_usage vs power,0.005326316011533265
usage_concentration vs wins,-0.04950015387240224
usage_concentration vs losses,0.028742289726117563
usage_concentration vs adj_net,-0.03520864011220907
usage_concentration vs off_adj_ppp,-0.006525387869479255
usage_concentration vs def_adj_ppp,0.06364085934214829
usage_concentration vs tempo,-0.10413970700945956
usage_concentration vs wab,-0.03898319627923295
usage_concentration vs power,-0.05014174488813825
top_2_usage vs wins,-0.11815591899398818
top_2_usage vs losses,0.12102020625713897
top_2_usage vs adj_net,-0.03751238696100974
top_2_usage vs off_adj_ppp,-0.017240172010207857
top_2_usage vs def_adj_ppp,0.05505578119641884
top_2_usage vs tempo,-0.00451986145257307
top_2_usage vs wab,-0.04738426837217262
top_2_usage vs power,-0.04178652098005941
top_3_usage vs wins,-0.12356264471727935
top_3_usage vs losses,0.13492737598362328
top_3_usage vs adj_net,-0.044148873732770495
top_3_usage vs off_adj_ppp,-0.026170754858594134
top_3_usage vs def_adj_ppp,0.05750852147305665
top_3_usage vs tempo,-0.007898012356928543
top_3_usage vs wab,-0.048746984093015304
top_3_usage vs power,-0.03339000366684882
weighted_team_bpm vs wins,0.7608842016798558
weighted_team_bpm vs losses,-0.6545291703997801
weighted_team_bpm vs adj_net,0.8995441294005504
weighted_team_bpm vs off_adj_ppp,0.840642247470987
weighted_team_bpm vs def_adj_ppp,-0.7908012642553359
weighted_team_bpm vs tempo,0.14996797589690342
weighted_team_bpm vs wab,0.8607177938822765
weighted_team_bpm vs power,0.8525686543732183
overutilized_count vs wins,-0.11593864340343611
overutilized_count vs losses,0.1377082168455925
overutilized_count vs adj_net,-0.09208000363845739
overutilized_count vs off_adj_ppp,-0.11449230617510159
overutilized_count vs def_adj_ppp,0.04570252960613143
overutilized_count vs tempo,-0.02267652546686165
overutilized_count vs wab,-0.055422712967337445
overutilized_count vs power,-0.06114972860114751
underutilized_count vs wins,0.09847582159378973
underutilized_count vs losses,-0.08680620933073416
underutilized_count vs adj_net,0.12080194919627636
underutilized_count vs off_adj_ppp,0.1143422497842719
underutilized_count vs def_adj_ppp,-0.10440121711219558
underutilized_count vs tempo,0.005192283784400634
underutilized_count vs wab,0.10643417361498615
underutilized_count vs power,0.11411495233760355
